"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-02",,,,,,,,,,,"1",",0",,,,,,,,,,,,,,,"76.0",",,0,22,",,,,,,,,,"112.2",",a,,0","79",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-03",,,,,"4",",0","3",",0",,,"2","1,0",,,,,,,,,,,,,,,"152.0","1,,0,04,","40.6",",,0,13,",,,,,,,"70.8",",,,0","216","1,,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-04",,,,,"0","2,0","0","2,0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,30,+","0.0",",,0,30,+","0.0","2,,0,30,+",,,,,,,"25.4",",a,,0","0",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-05",,,,,"0",",0","0",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","0.0",",,0,31,+",,,,,,,"0.0",",,,0","0",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-06",,,,,"0",",0","0",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,30,+","0.0",",,0,30,+","0.0",",,0,30,+",,,,,,,"0.0",",,,0","0",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-07",,,,,"0",",0","0",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","0.0",",,0,31,+",,,,,,,"0.0",",,,0","0",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-08",,,"83.9","4,0","0",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","24","4,0","7","4,0","7.2","4,0,31,","0",",,0,31,+","0.0",",,0,31,+","0.0",",,0,31,+","37.2","4,0,27,",,,"13.0","4,0","0.0",",,,0","0",",,,0","21.0","4,0","29.4","4,,,0","12.5","4,,,0"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-09",,,"62.8","3,0","0",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","27","3,0","8","3,0","5.6","3,0,21,","0",",,0,30,+","0.0",",,0,30,+","0.0",",,0,30,+","35.0","3,0,29,",,,"16.2","3,0","0.0",",,,0","0",",,,0","20.1","3,0","29.3","3,,,0","10.9","3,,,0"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-10",,,,,"3",",0","3",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","30.5",",,0,04,",,,,,,,"47.3",",,,0","0",",,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2010-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236.2",",a,,0","102","3,a,,0",,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-01","0.0","7","0.0","1,7","6","2,7","5","2,7","30","1,7",,,"0","1,7","28","1,7","1","1,7","0","1,7","0","1,7","-8.3","1,7,01,","305","1,,7,05,+",,,"30.5","2,,7,03,","15.6","1,7,20,",,,"458.9","1,7","62.2","2,,,7",,,"3.0","1,7","8.3","1,,,7","-2.2","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-02","0.0","7","0.0","2,7","7","2,7","7","2,7","26","2,7",,,"0","2,7","26","2,7","1","2,7","0","2,7","0","2,7","-7.2","2,7,27,","559","2,,7,26,+",,,"55.9","2,,7,16,","16.7","2,7,13,+",,,"405.3","2,7","193.2","2,,,7",,,"2.8","2,7","8.6","2,,,7","-3.1","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-03","0.0","7","0.0",",7","18",",7","14",",7","27",",7","6","1,7","0",",7","22",",7","0",",7","0",",7","0",",7","-5.6",",7,25,","508",",,7,20,","381.0","1,,7,20,","66.0",",,7,20,","18.3",",7,13,+",,,"406.2",",7","298.3",",,,7","1007","1,,,7","5.2",",7","10.8",",,,7","-0.4",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-04","0.0","7","0.0",",7","10",",7","4",",7","4",",7","2",",7","0",",7","6",",7","0",",7","6",",7","0",",7","-4.4",",7,10,+","102",",,7,01,","25.0",",,7,09,+","19.0",",,7,21,","25.0",",7,02,",,,"278.0",",7","36.5",",,,7","58",",,,7","9.1",",7","16.4",",,,7","1.7",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-05","0.0","7","0.0",",7","11",",7","8",",7","1",",7","0","2,7","0",",7","3",",7","0",",7","11",",7","0",",7","0.0",",7,18,+","76",",,7,15,","0.0","2,,7,31,+","14.0",",,7,18,","26.1",",7,05,",,,"210.3",",7","55.1",",,,7","0","2,,,7","11.6",",7","18.3",",,,7","4.8",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-06","21.2","7","21.2","2,7","5","2,7","4","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","19","2,7","0","2,7","1.7","2,7,02,","0","2,,7,30,+","0.0","2,,7,30,+","17.8","2,,7,29,","31.7","2,7,22,",,,"83.6","2,7","52.3","2,,,7","0","2,,,7","16.1","2,7","23.2","2,,,7","9.0","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-07","118.0","7","96.8","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","30","1,7","4","1,7","8.3","1,7,01,","0","1,,7,31,+","0.0","1,,7,31,+","0.0","1,,7,31,+","33.9","1,7,31,+","3.6","7","3.6","1,7","0.0","1,,,7","0","1,,,7","21.4","1,7","29.5","1,,,7","13.4","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-09",,,"78.5",",7","7",",7","6",",7","0","3,7","0","3,7","0",",7","0",",7","0",",7","30",",7","6",",7","9.4",",7,18,+","0","3,,7,30,+","0.0","3,,7,30,+","25.7",",,7,14,","33.3",",7,10,+",,,"7.0",",7","86.9",",,,7","0","3,,,7","20.7",",7","29.1",",,,7","12.3",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-10",,,"1.9","3,7","4","3,7","4","3,7","0","3,7","0","3,7","0","3,7","1","3,7","0","3,7","18","3,7","0","3,7","0.0","3,7,07,","0","3,,7,31,+","0.0","3,,7,31,+","38.1","3,,7,05,","30.0","3,7,01,",,,"121.2","3,7","71.1","3,,,7","0","3,,,7","14.1","3,7","21.7","3,,,7","6.4","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-11",,,"0.0","1,7","5",",7","4",",7","3",",7","2",",7","0",",7","20",",7","0","1,7","0","1,7","0","1,7","-2.8",",7,08,","51",",,7,06,+","63.0",",,7,04,","10.4",",,7,06,","20.0","1,7,24,",,,"360.8","1,7","27.2",",,,7","127",",,,7","6.0","1,7","12.0","1,,,7","0.0",",,,7"
