IncidentID,IncidentDate,BearsObservedID,CaseNumber,IncidentDescription
1588,18-Mar-10,0,10-0430,Bear broke wall at Housekeeping and knocked over 1 trash can. The hole in the wall was about 3 ft. by 2ft.
1589,21-Mar-10,-1,10-0449,Resident Katie Hopkins was taking a shower when she heard loud noises coming from outside. When she exited the shower she heard ripping of canvas and shined her small light at it. A very large dark colored bear snapped its jaws and did a short bluff charg
1590,22-Mar-10,0,10-0460,Bear broke into unoccupied tent cabin #503 in Curry Village. Damage to front door and canvas on right front corner. Mike Siler took original report.
1591,26-Mar-10,-1,10-0486,"Bear was seen attempting to enter two bear boxes, one used as linen storage and the other as food storage. No food was obtained but the bear box was tampered with and damaged."
1592,28-Mar-10,-1,None,Second hand report from Facebook post that climbers were on route and saw a bear take their backpack so they climbed down and chased the bear away. The bear got some food.
1593,01-Apr-10,-1,10-0539,Valentine heard a bear knocking over a trash can near the Curry pavilion. As he approached the trash can he heard more crashing near cabin 18A. Valentine saw the bear standing over two large bear proof lockers that it had knocked off of their 4x4 pedestal
1594,02-Apr-10,0,10-0540,Small window in left rear cab of truck broken and a medical backpack was removed. Food wrappers were carried away. Unable to find victim.
1595,03-Apr-10,0,10-0553,Car seats in vehicle. Trim over the windows on both sides of the vehicle was damaged.
1596,05-Apr-10,-1,10-0582,Food was in a bear box that was left open. People were in campsite within 4 ft. of bear box. When the bear came into the site the people ran away in fear. Bear box was closed but not locked and the bear obtained food.
1597,06-Apr-10,-1,10-0716,"Bear entered Ranger Club through side door near kitchen. Bear ate 2 chocolate cakes, 1 box chocolate, 1 pint blueberries, 1 bag chips, 1 bag onion, 1 pack spinach, and 1 dozen eggs. Bear opened refrigerator. Resident came downstairs, saw bear and ran upst"
1598,07-Apr-10,-1,10-0594,Bear tore screen on door. Was unable to get access to building. DNC Security had followed bear from the Lost Arrow Dorms where it had gotten into some trash.
1614,08-Apr-10,0,10-0816,"The bear broke down the back door, entered laundry room, tore 2 sets of blinds off of the windows, pushed the top sash of one window down (storm window intact), and started trying to open the kitchen door by pounding on it. Fortunately the kitchen door op"
1601,08-Apr-10,0,10-0606,Attempted entry at garage door. Bent door but did not enter. No food present.
1600,08-Apr-10,0,10-0604,Convertible top ripped open and interior damage.
1599,08-Apr-10,0,10-0602,Attempted entry at residence - rear screen damage with small puncture tear.
1604,09-Apr-10,-1,10-0623,Nurse Scott Barlow reported a disturbance at the back of the clinic. He saw a bear attempting to gain entry to the rear doors and called dispatch. We responded from lower housing to find a large brown bear with green tag in left ear exiting the rear clini
1603,09-Apr-10,0,10-0614,"Bear entered through flimsy wooden front doors, became trapped in the office and exited by breaking a window. While inside, it got into the refrigerator and obtained creamer, crystal light, probiotics, and horse de-wormer. There were also Schedule 1 drugs"
1602,09-Apr-10,-1,10-0613,Residents Paul Doherty and Stephanie Hance awoke to the sound of a bear climbing through their laundry room door. They yelled at the bear but were afraid to open the door. The bear ran back out the way it came in before they got a look at it. I responded 
1605,10-Apr-10,0,10-0625,Bear box was left open and all the contents were removed by a bear.
1606,11-Apr-10,0,10-0649,During patrol through the NPS maintenance lot I noticed that the stables office door was ripped open again for the second night in a row. The bear pushed the weakened door open and went for the fridge. The bear bit into a bottle of water and that was it.
1607,11-Apr-10,0,10-0648,Kelly's neighbor reported a damaged rear door on the house to dispatch who notified us. The residents were out of town. We found the rear door had been broken through most likely by the same bear that ripped into two adjacent houses less than 100 yards aw
1608,11-Apr-10,-1,10-0635,3rd hand report of bear entering the dorm room through the window. Bear opened the window and tore out the blinds then it was chased back out the same window. Details are pending - very vague 3rd hand report. Residents who were involved were asked to call
1610,11-Apr-10,-1,10-0634,Bear ripped out the lower window of the back door and damaged the screen. Jim yelled and the bear did not leave. He then wielded his light sabers which was effective in scaring the bear away.
1609,11-Apr-10,0,10-0633,Bear ripped off the screen front door. Dogs went crazy scaring the bear off. The Mates did not hear the door being damaged. Did not gain entry.
1611,13-Apr-10,0,10-0673,Victim Phone #: 248-259-2395   DNC at break-in site with car and victim when we arrived. After looking around parking lot I spotted a bear running toward Curry Village.
1612,13-Apr-10,-1,10-0663,Huff House 215: Bear opened the camper shell door of an S-10 full of food. The bear obtained a box of oatmeal and a jar of peanut butter. Bear returned and was positively identified. The vehicle was towed and the owner will be cited by Jared Mitrea.
1613,17-Apr-10,-1,10-0703,A visitor heard lots of banging in a neighboring site and when she got up to use the bathroom she saw a bear eating an entire campsite of Chinese takeout. The woman became frightened and hurried back to tell her husband. He got up about 10 minutes later. 
1615,19-Apr-10,-1,10-0757,A bear described as large (about the same size as a bear locker) got into a bear locker. The visitors heard the latch lift and opened the door. They threw a broom out and the bear didn't turn around. They threw a boot and hit the bear and it still didn't 
1618,19-Apr-10,-1,10-0724,The victim's dog barked and the owner looked out the window of his house and saw a bear near his car. The resident chased the bear away from the car and noticed a green tag in the left ear of the bear (he felt pretty confident with the identification). Th
1619,21-Apr-10,0,10-0817,The bear ripped through a metal screen to obtain recycling that was temporarily being stored in the screened off area of the back dock.
1620,22-Apr-10,-1,10-0746,"The food was in an ice chest in the locker, which was probably not fully closed. Food eaten by bear includes chicken, cheese, sausage, and peppers."
1621,23-Apr-10,0,10-0758,"The bear got into a bear locker and ate for thirty minutes. Cereal, ginger snaps, oranges, mayonnaise, and apples were among the items eaten (A whole bear box of food). The visitors heard a large bang and then could hear the bear opening packages. They cl"
1622,24-Apr-10,-1,10-0771,The report was taken from a third party observer of the incident. The visitor was climbing below a party whose packs were on the ground. The visitor witnessed bear 3062 grab 2 packs and drag them off into the woods. The party above admitted to having food
1623,25-Apr-10,0,10-0776,"The food in the packs included a peanut butter sandwich, goo, sunscreen, an orange that wasn’t eaten, and a bag of nuts. The reporting party was a guide who was up on a ledge with clients. Their backpacks were below them about 20 feet away on a second led"
1625,27-Apr-10,-1,10-0806,"The bear obtained sausages, peanut butter, cheese, ham, fruit, etc. (about 2 grocery bags of food). People heard the bear in a locker and yelled at it for about fifteen minutes before the bear finally left. When asked how big the bear was the visitors ind"
1624,27-Apr-10,0,10-0796,A bear obtained food by banging on the locker. The latch opened and the bear got food from a cooler.
1718,29-Apr-10,-1,10-1887,A climber said that his wife was watching him climb from the meadow during the day and a bear snuck up behind her and grabbed her purse. She chased the bear and yelled at it and the bear dropped the purse and left. There was minimal damage to the purse. S
1626,30-Apr-10,-1,10-0869,"Resource 90 was hiking up to the base of El Capitan to climb on days off. Bear 3062 was seen in the clearing on the approach trail ripping into a pink bag. Resource 90 chased bear off of stuff and up into the woods, but the bear continued to chew the bag "
1628,30-Apr-10,-1,10-0820,"Visitors heard the bear hitting the food locker and observed a bear with a yellow tag eating from it. The bear bluff charged them twice and ate pasta salad, 32 oz. of hummus, and flavored water."
1627,30-Apr-10,-1,10-0819,"The visitors heard a bear hitting the food locker, and observed it eating. They saw a yellow ear tag. The food eaten included snacks, candy bars, and Motrin (drug for baby)."
1629,01-May-10,-1,None,A bear re-opened a flimsy screen that has been broken into for several consecutive nights by bears to obtain trash and recycling.
1659,01-May-10,-1,10-0830,"The food was left out until 1:30 am. The visitor was warned by resources. The bear returned at 1:30 am and opened the locker. Food for twenty visitors was consumed. 2 lbs of bacon, watermelon, humus, bread, 2 lbs. of sausage, alcoholic beverages, and soda"
1632,09-May-10,-1,10-1013,Some food was left out in the outside space of the tent cabins. The bear returned at 0600 and was chased away by occupants. It was the same bear as several earlier incidents. A bagel was obtained.
1631,09-May-10,-1,10-0923,"Granola bars were obtained by the bear. The visitors left the food out unintentionally. Resource units watched the bear pull it out of the hanging bag and lay down to eat the bar. Resource units snuck up to 25 yards, yelled, and fired 3 slugs as the bear "
