IncidentID,IncidentDate,IncidentTime,Location,LocationDetail,Subdistrict,BlameFactorDesc,IncidentDescription,PropertyTypeID,DamageAmount
1588,2010-03-18,2:00:00,Housekeeping Camp,Housekeeping laundry,Yosemite Valley,Food Conditioned Behavior,Bear broke wall at Housekeeping and knocked over 1 trash can. The hole in the wall was about 3 ft. by 2ft.,15,300
1589,2010-03-21,1:00:00,Stables Concession Housing,#12 and #74,Yosemite Valley,Improper garbage disposal,Resident Katie Hopkins was taking a shower when she heard loud noises coming from outside. When she exited the shower she heard ripping of canvas and shined her small light at it. A very large dark colored bear snapped its jaws and did a short bluff charge towards her. She ran back into the bathroom and the bear left. The bear ripped into two unoccupied tent cabins. House #12 had food trash strewn about inside and out with minor damage to the door. #14 had the lower wooden portion totally ripped out and the canvas ripped with recycling and bird seed inside the cabin. The bear also obtained a significant amount of food trash from an unsecured trash can left outside that had been used primarily for construction trash. I was unable to locate the bear on telemetry.,11,400
1590,2010-03-22,0:25:00,Curry Village,#503,Yosemite Valley,Unknown,Bear broke into unoccupied tent cabin #503 in Curry Village. Damage to front door and canvas on right front corner. Mike Siler took original report.,15,1000
1591,2010-03-26,21:00:00,Curry Village,#9B,Yosemite Valley,Food Conditioned Behavior,"Bear was seen attempting to enter two bear boxes, one used as linen storage and the other as food storage. No food was obtained but the bear box was tampered with and damaged.",19,100
1592,2010-03-28,,El Capitan - Base,,Yosemite Valley,Improper food storage,Second hand report from Facebook post that climbers were on route and saw a bear take their backpack so they climbed down and chased the bear away. The bear got some food.,18,10
1593,2010-04-01,23:15:00,Curry Village,,Yosemite Valley,Food Conditioned Behavior,Valentine heard a bear knocking over a trash can near the Curry pavilion. As he approached the trash can he heard more crashing near cabin 18A. Valentine saw the bear standing over two large bear proof lockers that it had knocked off of their 4x4 pedestals. The bear tore the bottom off of one of the lockers accessing the trash inside. It knocked a glass fire extinguisher holder off of the building and broke it. Valentine chased the bear away. Photo available - call V31.,19,1000
1594,2010-04-02,,Camp 4 Parking,,Yosemite Valley,Improper food storage,Small window in left rear cab of truck broken and a medical backpack was removed. Food wrappers were carried away. Unable to find victim.,17,100
1595,2010-04-03,,Curry Parking - West,,Yosemite Valley,Child's Car Seat,Car seats in vehicle. Trim over the windows on both sides of the vehicle was damaged.,17,100
1596,2010-04-05,22:56:00,North Pines Campground,#303,Yosemite Valley,Visitors afraid of bear,Food was in a bear box that was left open. People were in campsite within 4 ft. of bear box. When the bear came into the site the people ran away in fear. Bear box was closed but not locked and the bear obtained food.,18,50
1597,2010-04-06,5:30:00,Lower Housing NPS,Ranger Club,Yosemite Valley,Improper food storage,"Bear entered Ranger Club through side door near kitchen. Bear ate 2 chocolate cakes, 1 box chocolate, 1 pint blueberries, 1 bag chips, 1 bag onion, 1 pack spinach, and 1 dozen eggs. Bear opened refrigerator. Resident came downstairs, saw bear and ran upstairs to call 911. Another resident came through kitchen, saw bear, yelled and scared it back outside. Door was not latched.",18,50
1598,2010-04-07,2:30:00,Lower Housing NPS,Ranger Club,Yosemite Valley,Food Conditioned Behavior,Bear tore screen on door. Was unable to get access to building. DNC Security had followed bear from the Lost Arrow Dorms where it had gotten into some trash.,15,40
1599,2010-04-08,4:30:00,Curry Dorms,"8013 Starr King, Curry employee housing",Yosemite Valley,Food Conditioned Behavior,Attempted entry at residence - rear screen damage with small puncture tear.,15,25
1600,2010-04-08,,Ahwahnee Parking,Valet parking,Yosemite Valley,Unknown,Convertible top ripped open and interior damage.,17,4500
